line	pos	sign	conf	value	grade
Carta 110	12	55		p	C
Carta 110	13	17		a	C
Carta 110	14	18		m	C
Carta 110	15	12		r	C
Carta 110	16	19		e	C
Carta 110	17	4		s	C
Carta 110	18	55		p	C
Carta 110	19	15		o	C
Carta 110	20	55		p	C
Carta 110	21	x		d	C
Carta 110	22	7		e	C
Carta 110	23	12		r	C
Carta 110	24	18		m	C
Carta 110	25	7		e	C
Carta 110	26	16		f	M
Carta 110	27	15		o	C
Carta 110	28	e		g	M
Carta 110	29	7		e	C
Carta 110	30	2		d	M
Carta 110	31	7		e	C
Carta 110	32	18		m	C
Carta 110	33	8		i	C
Carta 110	34	18		m	C
Carta 110	35	17		a	C
Carta 110	36	4		s	C
Carta 110	37	26		u	M
Carta 110	38	y		a	C
Carta 110	39	18		m	C
Carta 110	40	7		e	C
Carta 110	41	14		n	C
Carta 110	42	3		t	C
Carta 110	43	8		i	C
Carta 110	44	12		r	C
Carta 110	45	y		a	C
Passage 2a	1	7		e	C
Passage 2a	2	19		e	C
Passage 2a	3	14		n	C
Passage 2a	4	15		o	C
Passage 2a	5	4		s	C
Passage 2a	6	18		m	C
Passage 2a	7	7		e	C
Passage 2a	8	3		t	C
Passage 2a	9	4		s	C
Passage 2a	10	12		r	C
Passage 2a	11	55		p	C
Passage 2a	12	y		a	C
Passage 2a	13	2		d	M
Passage 2a	14	2		d	M
Passage 2a	15	55		p	C
Passage 2a	16	14		n	C
Passage 2a	17	2		d	M
Passage 2a	18	19		e	C
Passage 2a	19	14		n	C
Passage 2a	20	5		c	C
Passage 2a	21	8		i	C
Passage 2a	22	17		a	C
Passage 2a	23	2		d	M
Passage 2a	24	19		e	C
Passage 2a	25	107±		?	U
