leaf	entry_label	position	token	token_type
m0287	Carta 79	21	18	num
m0287	Carta 79	22	y	ltr
m0287	Carta 79	23	10	num
m0287	Carta 79	24	e	ltr
m0287	Carta 79	25	26	num
m0287	Carta 79	26	18	num
m0287	Carta 79	27	17	num
m0287	Carta 79	28	z	ltr
m0287	Carta 79	29	19	num
m0287	Carta 79	30	4	num
m0287	Carta 79	31	3	num
m0287	Carta 79	32	24	num
m0287	Carta 79	33	26	num
m0287	Carta 79	34	24	num
m0287	Carta 79	35	20	num
m0287	Carta 79	36	10	num
m0287	Carta 79	37	17	num
m0287	Carta 79	38	5	num
m0287	Carta 79	39	15	num
m0287	Carta 79	40	20	num
m0287	Carta 79	41	15	num
m0287	Carta 79	42	3	num
m0287	Carta 79	43	19	num
m0287	Carta 79	44	f	ltr
m0287	Carta 79	45	15	num
m0287	Carta 79	46	26	num
m0287	Carta 79	47	52	num
m0287	Carta 79	48	19	num
m0287	Carta 79	49	8	num
m0287	Carta 79	50	12	num
m0287	Carta 79	51	15	num
m0287	Carta 79	52	4	num
m0287	Carta 79	53	19	num
m0287	Carta 79	54	26	num
m0287	Carta 79	55	55	num
m0287	Carta 79	56	24	num
m0287	Carta 79	57	12	num
m0287	Carta 79	58	17	num
m0287	Carta 79	59	3	num
m0287	Carta 79	60	y	ltr
m0287	Carta 79	61	8	num
m0287	Carta 79	62	21	num
m0287	Carta 79	63	15	num
m0287	Carta 79	64	12	num
m0287	Carta 79	65	14	num
m0287	Carta 79	66	19	num
m0287	Carta 80	1	10	num
m0287	Carta 80	2	26	num
m0287	Carta 80	3	18	num
m0287	Carta 80	4	16	num
m0287	Carta 80	5	8	num
m0287	Carta 80	6	14	num
m0287	Carta 80	7	15	num
m0287	Carta 80	8	2	num
m0287	Carta 80	9	z	ltr
m0287	Carta 80	10	4	num
m0287	Carta 80	11	55	num
m0287	Carta 80	12	12	num
m0287	Carta 80	13	15	num
m0287	Carta 80	14	f	ltr
m0287	Carta 80	15	8	num
m0287	Carta 80	16	3	num
m0287	Carta 80	17	15	num
m0288	Carta 81	1	15	num
m0288	Carta 81	2	25	num
m0288	Carta 81	3	16	num
m0288	Carta 81	4	8	num
m0288	Carta 81	5	5	num
m0288	Carta 81	6	8	num
m0288	Carta 81	7	17	num
m0288	Carta 81	8	20	num
m0288	Carta 81	9	4	num
m0288	Carta 81	10	26	num
m0288	Carta 81	11	8	num
m0288	Carta 81	12	4	num
m0288	Carta 81	13	20	num
m0288	Carta 81	14	10	num
m0288	Carta 81	15	z	ltr
m0288	Carta 81	16	5	num
m0288	Carta 81	17	15	num
m0288	Carta 81	18	18	num
m0288	Carta 81	19	26	num
m0288	Carta 81	20	14	num
m0288	Carta 81	21	8	num
m0288	Carta 81	22	5	num
m0288	Carta 81	23	17	num
m0288	Carta 85	1	17	num
m0288	Carta 85	2	3	num
m0288	Carta 85	3	12	num
m0288	Carta 85	4	15	num
m0288	Carta 85	5	5	num
m0288	Carta 85	6	2	num
m0288	Carta 85	7	z	ltr
m0288	Carta 85	8	17	num
m0288	Carta 85	9	20	num
m0288	Carta 85	10	5	num
m0288	Carta 85	11	17	num
m0288	Carta 85	12	14	num
m0288	Carta 85	13	4	num
m0288	Carta 85	14	23	num
m0288	Carta 85	15	12	num
m0288	Carta 85	16	19	num
m0288	Carta 85	17	18	num
m0288	Carta 85	18	14	num
m0288	Carta 85	19	15	num
m0288	Carta 85	20	3	num
m0288	Carta 85	21	12	num
m0288	Carta 85	22	17	num
m0288	Carta 85	23	3	num
m0288	Carta 85	24	23	num
m0288	Carta 85	25	2	num
m0288	Carta 85	26	15	num
m0288	Carta 85	27	2	num
m0288	Carta 85	28	19	num
m0288	Carta 85	29	8	num
m0288	Carta 85	30	4	num
m0288	Carta 85	31	26	num
m0288	Carta 85	32	19	num
m0288	Carta 85	33	14	num
m0288	Carta 85	34	2	num
m0288	Carta 85	35	z	ltr
m0288	Carta 85	36	12	num
m0288	Carta 85	37	17	num
m0288	Carta 85	38	18	num
m0288	Carta 85	39	3	num
m0288	Carta 85	40	15	num
m0288	Carta 85	41	2	num
m0288	Carta 85	42	15	num
m0288	Carta 85	43	18	num
m0288	Carta 85	44	26	num
m0288	Carta 85	45	14	num
m0288	Carta 85	46	2	num
m0288	Carta 85	47	25	num
m0288	Passage 2a	1	19	num
m0288	Passage 2a	2	4	num
m0288	Passage 2a	3	3	num
m0288	Passage 2a	4	19	num
m0288	Passage 2a	5	4	num
m0288	Passage 2a	6	10	num
m0288	Passage 2a	7	15	num
m0288	Passage 2a	8	18	num
m0288	Passage 2a	9	17	num
m0288	Passage 2a	10	4	num
m0288	Passage 2a	11	16	num
m0288	Passage 2a	12	z	ltr
m0288	Passage 2a	13	5	num
m0288	Passage 2a	14	10	num
m0288	Passage 2a	15	17	num
m0288	Passage 2a	16	2	num
m0288	Passage 2a	17	15	num
m0288	Passage 2a	18	17	num
m0288	Passage 2a	19	3	num
m0288	Passage 2a	20	15	num
m0288	Passage 2a	21	2	num
m0288	Passage 2a	22	17	num
m0288	Passage 2a	23	14	num
m0288	Passage 2a	24	15	num
m0288	Passage 2a	25	55	num
m0288	Passage 2a	26	17	num
m0288	Passage 2a	27	55	num
m0288	Passage 2a	28	19	num
m0288	Passage 2a	29	20	num
m0288	Passage 2a	30	15	num
m0288	Passage 2a	31	2	num
m0288	Passage 2a	32	z	ltr
m0288	Passage 2a	33	g	ltr
m0288	Passage 2a	34	17	num
m0288	Passage 2a	35	16	num
m0288	Passage 2a	36	15	num
m0288	Passage 2a	37	12	num
m0288	Passage 2a	38	15	num
m0288	Passage 2a	39	3	num
m0288	Passage 2a	40	12	num
m0288	Passage 2a	41	17	num
m0288	Passage 2a	42	3	num
m0288	Passage 2a	43	23	num
m0288	Passage 2a	44	18	num
m0288	Passage 2a	45	y	ltr
m0288	Passage 2a	46	3	num
m0288	Passage 2a	47	15	num
m0288	Passage 2a	48	2	num
m0288	Passage 2a	49	25	num
m0288	Passage 2a	50	4	num
