line	pos	group	conf	note
mssDE108A_p5_L04	1	480	H	agree
mssDE108A_p5_L04	2	460	H	agree
mssDE108A_p5_L04	3	707	H	agree
mssDE108A_p5_L04	4	1193	H	agree
mssDE108A_p5_L04	5	941	H	agree
mssDE108A_p5_L04	6	626	H	agree
mssDE108A_p5_L04	7	202	H	agree
mssDE108A_p5_L04	8	1032	H	agree
mssDE108A_p5_L04	9	831	H	agree
mssDE108A_p5_L04	10	868	H	agree
mssDE108A_p5_L04	11	1199	H	agree
mssDE108A_p5_L05	1	389	H	agree
mssDE108A_p5_L05	2	642	H	agree
mssDE108A_p5_L05	3	480	H	agree
mssDE108A_p5_L05	4	816	H	agree
mssDE108A_p5_L05	5	169	H	agree
mssDE108A_p5_L05	6	116	H	agree
mssDE108A_p5_L05	7	518	H	agree
mssDE108A_p5_L05	8	1175	H	agree
mssDE108A_p5_L05	9	1181	H	agree
mssDE108A_p5_L05	10	544	H	agree
mssDE108A_p5_L05	11	460	H	agree
mssDE108A_p5_L06	1	266	H	agree
mssDE108A_p5_L06	2	878	H	agree
mssDE108A_p5_L06	3	680	H	agree
mssDE108A_p5_L06	4	1174	H	agree
mssDE108A_p5_L06	5	1107	H	agree
mssDE108A_p5_L06	6	12	H	agree
mssDE108A_p5_L06	7	642	H	agree
mssDE108A_p5_L06	8	767	M	agree-flagged
mssDE108A_p5_L06	9	434	H	agree
mssDE108A_p5_L06	10	608	H	agree
mssDE108A_p5_L07	1	818	H	agree
mssDE108A_p5_L07	2	78	H	A 8: A drops a leading 7 drawn as '>' after the slash; B on image
mssDE108A_p5_L07	3	551	M	agree-flagged
mssDE108A_p5_L07	4	227	H	agree
mssDE108A_p5_L07	5	525	H	agree
mssDE108A_p5_L07	6	1151	H	agree
mssDE108A_p5_L07	7	1129	H	agree
mssDE108A_p5_L07	8	656	M	agree-flagged
mssDE108A_p5_L07	9	733	H	agree
mssDE108A_p5_L07	10	301	H	agree
mssDE108A_p5_L09	1	165	H	agree
mssDE108A_p5_L09	2	36	H	agree
mssDE108A_p5_L09	3	620	H	agree
mssDE108A_p5_L09	4	626	H	agree
mssDE108A_p5_L09	5	49	H	agree
mssDE108A_p5_L09	6	324	H	agree
mssDE108A_p5_L09	7	884	H	agree
mssDE108A_p5_L09	8	1028	H	agree
mssDE108A_p5_L09	9	1181	H	agree
mssDE108A_p5_L09	10	387	H	agree
mssDE108A_p5_L10	1	145	H	agree
mssDE108A_p5_L10	2	570	H	agree
mssDE108A_p5_L10	3	233	H	agree
mssDE108A_p5_L10	4	626	H	agree
mssDE108A_p5_L10	5	151	H	agree
mssDE108A_p5_L10	6	683	H	agree
mssDE108A_p5_L10	7	162	H	agree
mssDE108A_p5_L10	8	1151	H	agree
mssDE108A_p5_L10	9	110	H	agree
mssDE108A_p5_L10	10	878	H	agree
