line	tomo	inv_no	shelfmark	date	place	sender	recipient	class	index_wording	key_route
55072	A	3601	A-28, f.3 y 4.	1523.05.02	Milán	Abbot of Nájera (Fernando Marín)	Carlos V	P	Original, con un párrafo en cifra.	Ko.3 (Kolosova)
55099	A	3602	A-28, f.5.	1523.05.02	Milán			P	Texto descrifrado del parrafo en cifra reseñado en los dos números anteriores (3600 y 3601).	none known
55109	A	3603	A-28, f.6 y 7.	1523.05.05	Roma	Lope Hurtado de Mendoza	Carlos V	D	Original, en su mayor parte en cifra.	Ko.7 (Kolosova, subst. p.312, nomenclature p.333) / Ko.10 secondary
55123	A	3604	A-28, f.9.	1523.05.05	Roma			D	Texto descifrado de los párrafos en cifra de la carta reseñada en el número anterior (3603).	none known
55145	A	3606	A-28, f.12 a 17.	1523.05.06	Roma	Duke of Sessa (Luis Fernández)	Carlos V	P	Original, con algunos períodos en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
55158	A	3607	A-28, f.18 a 24.	1523.05.06	Roma	Duke of Sessa (Luis Fernández)	Carlos V	D	Original, con algunos períodos en cifra y una postdata autógrafa del Duque.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
55179	A	3608	A-28, f.26 a 28.	1523.05.06	Roma			D	Texto descifrado de los pasajes en cifra de las dos cartas anteriores (3606 y 3607).	none known
55227	A	3612	A-28, f.36 a 39	1523.05.09	Venecia	Alonso Sánchez	Carlos V	P	Carta de Alonso Sánchez, embajador de Carlos V en Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
55241	A	3613	A-28, f.40 a 43.	1523.05.09	Venecia	Alonso Sánchez	Carlos V	D	Carta de Alonso Sánchez, embajador de Carlos V en Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
55259	A	3614	A-28, f.44 a 46.	1523.05.09	Venecia	Alonso Sánchez		D	Texto descifrado de las dos cartas anteriores (3612 y 3613), de Alonso Sánchez, embajador de	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
55284	A	3616	A-28, f.50 a 54.	1523.05.11	Nápoles	Charles de Lannoy	Carlos V	D	Carta de Carlos de Lannoy, virrey de Nápoles, a Carlos V, en cifra.	Ko.5 (Kolosova)
55294	A	3617	A-28, f.56 a 58.	1523.05.11	Nápoles	Charles de Lannoy	Carlos V	D	Texto descifrado de la carta anterior (3616), de Carlos de Lannoy, virrey de Nápoles, a Carlos V,	Ko.5 (Kolosova)
55350	A	3621	A-28, f.64 y 65.	1523.05.12	, 1523.05.15. Milán	Abbot of Nájera (Fernando Marín)	Carlos V	P	Original, en su mayor parte en cifra.	Ko.3 (Kolosova)
55363	A	3622	A-28, f.68 a 71.	1523.05.12	, 1523.05.15. Milán	Abbot of Nájera (Fernando Marín)	Carlos V	D	Original, en su mayor parte en cifra.	Ko.3 (Kolosova)
55382	A	3623	A-28, f.73 y 74.	1523.05.12	, 1523.05.15. Milán	Abbot of Nájera (Fernando Marín)	Carlos V	D	Texto descifrado de los períodos en cifra de las dos cartas anteriores (3621 y 3622):	Ko.3 (Kolosova)
55399	A	3624	A-28, f.75 y 76.	1523.05.19	Venecia	Alonso Sánchez	Carlos V	P	Carta de Alonso Sánchez, embajador de Carlos V en Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
55409	A	3625	A-28, f.77 y 78.	1523.05.19	Venecia	Alonso Sánchez	Carlos V	D	Original en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
55427	A	3626	A-28, f.79.	1523.05.19	Venecia			D	Texto descifrado de las dos cartas anteriores (3624 y 3625), comunicándole que el Senado de	none known
55440	A	3627	A-28, f.81.	1523.05.20	Venecia	Alonso Sánchez	Carlos V	P	Carta de Alonso Sánchez, embajador de Carlos V en Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
55450	A	3628	A-28, f.83.	1523.05.20	Venecia	Alonso Sánchez	Carlos V	D	Original, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
55462	A	3629	A-28, f.85.	1523.05.20	Venecia	Alonso Sánchez		D	Texto descifrado de las dos cartas anteriores (3627 y 3628), de Alonso Sánchez, embajador de	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
55555	A	3635	A-28, f.97 y 98.	1523.05.23	Roma	Duke of Sessa (Luis Fernández)	Carlos V	P	Carta de Luis Fernández de Córdoba, duque de Sesa, a Carlos V, en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
55565	A	3636	A-28, f.99 a 101.	1523.05.23	Roma	Duke of Sessa (Luis Fernández)	Carlos V	D	Carta de Luis Fernández de Córdoba, duque de Sesa, a Carlos V, en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
55577	A	3637	A-28, f.102 y 103.	1523.05.23	Roma	Duke of Sessa (Luis Fernández)	Carlos V	D	Texto descifrado de las dos cartas anteriores (3635 y 3636), de Luis Fernández de Córdoba, duque	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
55859	A	3656	A-28, f.148 a 151.	1523.06.05	Venecia	Alonso Sánchez	Carlos V	P	Carta de Alonso Sánchez, embajador de Carlos V en Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
55869	A	3657	A-28, f.153 a 156.	1523.06.05	Venecia	Alonso Sánchez	Carlos V	D	Carta de Alonso Sánchez, embajador de Carlos V en Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
55881	A	3658	A-28, f.157 a 160.	1523.06.05	Venecia	Alonso Sánchez		D	Texto descifrado de las dos cartas anteriores (3656 y 3657), de Alonso Sánchez, embajador de	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
55896	A	3659	A-28, f.162 y 163.	1523.06.08	Nápoles	Charles de Lannoy	Carlos V	P	Original, con algunas frases en cifra.	Ko.5 (Kolosova)
55960	A	3664	A-28, f.171.	1523.06.11	Roma	Lope Hurtado de Mendoza	Carlos V	P	Original, con algunas frases en cifra.	Ko.7 (Kolosova, subst. p.312, nomenclature p.333) / Ko.10 secondary
55972	A	3665	A-28, f.173.	1523.06.11	Roma	Lope Hurtado de Mendoza	Carlos V	D	Original, en cifra.	Ko.7 (Kolosova, subst. p.312, nomenclature p.333) / Ko.10 secondary
55986	A	3666	A-28, f.174.	1523.06.11	Roma	Lope Hurtado de Mendoza	Carlos V	D	Texto descifrado de la carta anterior (3665):	Ko.7 (Kolosova, subst. p.312, nomenclature p.333) / Ko.10 secondary
56099	A	3673	A-28, f.195.	1523.06.12	Roma	Duke of Sessa (Luis Fernández)	Carlos V	P	Original, en su primera mitad en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
56142	A	3676	A-28, f.209.	1523.06.12	Roma	Duke of Sessa (Luis Fernández)	Carlos V	P	Original, parte en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
56162	A	3677	A-28, f.211 y 212.	1523.06.12	Roma	Duke of Sessa (Luis Fernández)	Carlos V	D	Original, parte en cifra, y una postdata autógrafa del Duque.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
56176	A	3678	A-28, f.213 a 220.	1523.06.12	Roma			D	Texto descifrado de los períodos en cifra de la carta reseñada en el n?2 3673.	none known
56211	A	3681	A-28, f.224 y 225.	1523.06.13	Venecia	Alonso Sánchez	Carlos V	P	Carta de Alonso Sánchez, embajador de Carlos V en Venecia, dirigida a éste, en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
56221	A	3682	A-28, f.226 y 227.	1523.06.13	Venecia	Alonso Sánchez	Carlos V	D	Original, parte en cifra.	Ko.9 (Kolosova p.350-380); Tomokiyo AlonsoSanchez.htm (on file)
56233	A	3683	A-28, f.228.	1523.06.12	Venecia	Marino Caracciolo		D	Texto descifrado de las dos cartas anteriores (3681 y 3682), comunicándole la llegada del	Ko.8 (Kolosova, subst. p.338, nomenclature p.348) -- Italian
