line	pos	sign
hstam_4_h_1411_0023_L21	17	35
hstam_4_h_1411_0023_L21	18	7z
hstam_4_h_1411_0023_L21	19	48
hstam_4_h_1411_0023_L21	20	83
hstam_4_h_1411_0023_L21	21	F
hstam_4_h_1411_0023_L21	22	71
hstam_4_h_1411_0023_L21	23	79
hstam_4_h_1411_0023_L21	24	30
hstam_4_h_1411_0023_L21	25	16
hstam_4_h_1411_0023_L21	26	7z
hstam_4_h_1411_0023_L21	27	25
hstam_4_h_1411_0023_L21	28	71
hstam_4_h_1411_0023_L21	29	zz
hstam_4_h_1411_0023_L21	30	54
hstam_4_h_1411_0023_L21	31	61
hstam_4_h_1411_0023_L21	32	44
hstam_4_h_1411_0023_L21	33	5z
hstam_4_h_1411_0023_L21	34	58
hstam_4_h_1411_0023_L21	35	z9
hstam_4_h_1411_0023_L21	36	61
hstam_4_h_1411_0023_L21	37	10
hstam_4_h_1411_0023_L21	38	49
hstam_4_h_1411_0023_L21	39	zz
hstam_4_h_1411_0023_L22	1	z8
hstam_4_h_1411_0023_L22	2	zz
hstam_4_h_1411_0023_L22	3	27
hstam_4_h_1411_0023_L22	4	11
hstam_4_h_1411_0023_L22	5	84
hstam_4_h_1411_0023_L22	6	91
hstam_4_h_1411_0023_L22	7	4
hstam_4_h_1411_0023_L22	8	8
hstam_4_h_1411_0023_L22	9	50
hstam_4_h_1411_0023_L22	10	z9
hstam_4_h_1411_0023_L22	11	15
hstam_4_h_1411_0023_L22	12	13
hstam_4_h_1411_0023_L22	13	z1
hstam_4_h_1411_0023_L22	14	55
hstam_4_h_1411_0023_L22	15	91
hstam_4_h_1411_0023_L22	16	z9
hstam_4_h_1411_0023_L22	17	97
hstam_4_h_1411_0023_L22	18	77
hstam_4_h_1411_0023_L22	19	93
hstam_4_h_1411_0023_L22	20	z7
hstam_4_h_1411_0023_L22	21	55
hstam_4_h_1411_0023_L22	22	77
hstam_4_h_1411_0023_L22	23	95
hstam_4_h_1411_0023_L22	24	30
hstam_4_h_1411_0023_L22	25	11
hstam_4_h_1411_0023_L22	26	43
hstam_4_h_1411_0023_L22	27	61
hstam_4_h_1411_0023_L22	28	S
hstam_4_h_1411_0023_L22	29	86
hstam_4_h_1411_0023_L22	30	z7
hstam_4_h_1411_0023_L22	31	16
hstam_4_h_1411_0023_L22	32	30
hstam_4_h_1411_0023_L22	33	25
hstam_4_h_1411_0023_L22	34	Y
hstam_4_h_1411_0023_L22	35	13
hstam_4_h_1411_0023_L22	36	84
hstam_4_h_1411_0023_L22	37	z6
hstam_4_h_1411_0023_L22	38	z1
hstam_4_h_1411_0023_L22	39	z4
hstam_4_h_1411_0023_L22	40	83
hstam_4_h_1411_0023_L22	41	37
hstam_4_h_1411_0023_L22	42	58
hstam_4_h_1411_0023_L23	1	97
hstam_4_h_1411_0023_L23	2	zz
hstam_4_h_1411_0023_L23	3	61
hstam_4_h_1411_0023_L23	4	83
hstam_4_h_1411_0023_L23	5	16
hstam_4_h_1411_0023_L23	6	30
hstam_4_h_1411_0023_L23	7	11
hstam_4_h_1411_0023_L23	8	z3
hstam_4_h_1411_0023_L23	9	97
hstam_4_h_1411_0023_L23	10	ILLEGIBLE
hstam_4_h_1411_0023_L23	11	84
hstam_4_h_1411_0023_L23	12	97
hstam_4_h_1411_0023_L23	13	ILLEGIBLE
hstam_4_h_1411_0023_L23	14	dato
hstam_4_h_1411_0023_L23	15	83
hstam_4_h_1411_0023_L23	16	66
hstam_4_h_1411_0023_L23	17	30
hstam_4_h_1411_0023_L23	18	z9
hstam_4_h_1411_0023_L23	19	16
hstam_4_h_1411_0023_L23	20	83
hstam_4_h_1411_0023_L23	21	94
hstam_4_h_1411_0023_L23	22	13
hstam_4_h_1411_0023_L23	23	5z
hstam_4_h_1411_0023_L23	24	58
hstam_4_h_1411_0023_L23	25	90
hstam_4_h_1411_0023_L23	26	58
hstam_4_h_1411_0023_L23	27	10
hstam_4_h_1411_0023_L23	28	30
hstam_4_h_1411_0023_L23	29	11
hstam_4_h_1411_0023_L23	30	zz
hstam_4_h_1411_0023_L23	31	z9
hstam_4_h_1411_0023_L23	32	61
hstam_4_h_1411_0023_L23	33	63
hstam_4_h_1411_0023_L23	34	74
hstam_4_h_1411_0023_L23	35	73
hstam_4_h_1411_0023_L23	36	83
hstam_4_h_1411_0023_L23	37	z7
hstam_4_h_1411_0023_L23	38	61
hstam_4_h_1411_0023_L23	39	65
hstam_4_h_1411_0023_L23	40	zz
hstam_4_h_1411_0023_L23	41	98
hstam_4_h_1411_0023_L24	1	Y
hstam_4_h_1411_0023_L24	2	74
hstam_4_h_1411_0023_L24	3	48
hstam_4_h_1411_0023_L24	4	26
hstam_4_h_1411_0023_L24	5	32
hstam_4_h_1411_0023_L24	6	66
hstam_4_h_1411_0023_L24	7	61
hstam_4_h_1411_0023_L24	8	71
hstam_4_h_1411_0023_L24	9	zz
hstam_4_h_1411_0023_L24	10	29
hstam_4_h_1411_0023_L24	11	16
hstam_4_h_1411_0023_L24	12	H
hstam_4_h_1411_0023_L24	13	11
hstam_4_h_1411_0023_L24	14	53
hstam_4_h_1411_0023_L24	15	61
hstam_4_h_1411_0023_L24	16	23
hstam_4_h_1411_0023_L24	17	58
hstam_4_h_1411_0023_L24	18	30
hstam_4_h_1411_0023_L24	19	15
hstam_4_h_1411_0023_L24	20	G
hstam_4_h_1411_0023_L24	21	60
hstam_4_h_1411_0023_L24	22	61
hstam_4_h_1411_0023_L24	23	20
hstam_4_h_1411_0023_L24	24	24
hstam_4_h_1411_0023_L24	25	70
hstam_4_h_1411_0023_L24	26	16
hstam_4_h_1411_0023_L24	27	90
hstam_4_h_1411_0023_L24	28	70
hstam_4_h_1411_0023_L24	29	15
hstam_4_h_1411_0023_L24	30	16
hstam_4_h_1411_0023_L24	31	24
hstam_4_h_1411_0023_L24	32	88
hstam_4_h_1411_0023_L24	33	44
hstam_4_h_1411_0023_L24	34	74
hstam_4_h_1411_0023_L24	35	39
hstam_4_h_1411_0023_L24	36	83
hstam_4_h_1411_0023_L24	37	72
hstam_4_h_1411_0023_L24	38	Y
hstam_4_h_1411_0023_L24	39	42
hstam_4_h_1411_0023_L24	40	49
hstam_4_h_1411_0023_L24	41	30
hstam_4_h_1411_0023_L25	1	56
hstam_4_h_1411_0023_L25	2	Y
hstam_4_h_1411_0023_L25	3	60
hstam_4_h_1411_0023_L25	4	74
hstam_4_h_1411_0023_L25	5	86
hstam_4_h_1411_0023_L25	6	N
hstam_4_h_1411_0023_L25	7	90
hstam_4_h_1411_0023_L25	8	18
hstam_4_h_1411_0023_L25	9	55
hstam_4_h_1411_0023_L25	10	97
hstam_4_h_1411_0023_L25	11	1
hstam_4_h_1411_0023_L25	12	60
hstam_4_h_1411_0023_L25	13	25
hstam_4_h_1411_0023_L25	14	Y
hstam_4_h_1411_0023_L25	15	D
hstam_4_h_1411_0023_L25	16	74
hstam_4_h_1411_0023_L25	17	26
hstam_4_h_1411_0023_L25	18	H
hstam_4_h_1411_0023_L25	19	50
hstam_4_h_1411_0023_L25	20	30
hstam_4_h_1411_0023_L25	21	16
hstam_4_h_1411_0023_L25	22	38
hstam_4_h_1411_0023_L25	23	72
hstam_4_h_1411_0023_L25	24	24
hstam_4_h_1411_0023_L25	25	58
hstam_4_h_1411_0023_L25	26	63
hstam_4_h_1411_0023_L25	27	43
hstam_4_h_1411_0023_L25	28	82
hstam_4_h_1411_0023_L25	29	61
hstam_4_h_1411_0023_L25	30	30
hstam_4_h_1411_0023_L25	31	90
hstam_4_h_1411_0023_L25	32	58
hstam_4_h_1411_0023_L25	33	54
hstam_4_h_1411_0023_L25	34	16
hstam_4_h_1411_0023_L25	35	10
hstam_4_h_1411_0023_L25	36	84
hstam_4_h_1411_0023_L25	37	83
hstam_4_h_1411_0023_L25	38	3
hstam_4_h_1411_0023_L25	39	ILLEGIBLE
hstam_4_h_1411_0023_L26	1	35
hstam_4_h_1411_0023_L26	2	N
hstam_4_h_1411_0023_L26	3	27
