line	pos	sign
hstam_4_h_1411_0016_L23	26	z
hstam_4_h_1411_0016_L23	27	60
hstam_4_h_1411_0016_L23	28	52
hstam_4_h_1411_0016_L23	29	58
hstam_4_h_1411_0016_L23	30	z
hstam_4_h_1411_0016_L23	31	4
hstam_4_h_1411_0016_L23	32	8
hstam_4_h_1411_0016_L23	33	30
hstam_4_h_1411_0016_L23	34	O
hstam_4_h_1411_0016_L23	35	z
hstam_4_h_1411_0016_L23	36	1
