identifier	title	year	why
sim_great-britain-public-record-papers-domestic-charles-ii_may-29-1660-may-1661	Great Britain. Public Record Office. Calendar of State Papers. Domestic Series. Charles II May 29, 1660-May 1661	1660	(a) supplementary CSP Domestic volumes not in round 1/2
sim_great-britain-public-record-1625-1649-domestic-series_1639	Calendar of State Papers, Domestic Series, of the Reign of Charles I 1639	1639	(a) supplementary CSP Domestic volumes not in round 1/2
sim_great-britain-public-record-1625-1649-domestic-series_1640	Calendar of State Papers, Domestic Series, of the Reign of Charles I 1640	1640	(a) supplementary CSP Domestic volumes not in round 1/2
sim_great-britain-public-record-papers-domestic-charles-ii_june-1661-december-1662	Great Britain. Public Record Office. Calendar of State Papers. Domestic Series. Charles II June 1661-December 1662	1661	(a) supplementary CSP Domestic volumes not in round 1/2
sim_great-britain-public-record-papers-domestic-charles-ii_october-1672-february-1673	Great Britain. Public Record Office. Calendar of State Papers. Domestic Series. Charles II October 1672-February 1673	1672	(a) supplementary CSP Domestic volumes not in round 1/2
sim_great-britain-public-record-1625-1649-domestic-series_1629-1631	Calendar of State Papers, Domestic Series, of the Reign of Charles I 1629 - 1631	1629	(a) supplementary CSP Domestic volumes not in round 1/2
sim_great-britain-public-record-1625-1649-domestic-series_1639-1640	Calendar of State Papers, Domestic Series, of the Reign of Charles I 1639 - 1640	1639	(a) supplementary CSP Domestic volumes not in round 1/2
calendarclarend00routgoog	Calendar of the Clarendon state papers preserved in the Bodleian library	1869	(a) Clarendon State Papers 1767-86, third try (loosened)
calendarclarend00ofgoog	Calendar of the Clarendon state papers preserved in the Bodleian library	1869	(a) Clarendon State Papers 1767-86, third try (loosened)
calendarclarend01routgoog	Calendar of the Clarendon state papers preserved in the Bodleian library	1869	(a) Clarendon State Papers 1767-86, third try (loosened)
calendarclarend00unkngoog	Calendar of the Clarendon state papers preserved in the Bodleian library	1869	(a) Clarendon State Papers 1767-86, third try (loosened)
thenicholaspaper01camduoft	The Nicholas Papers	1838	(a) Nicholas Papers, third try
nicholaspapersco240nich	The Nicholas papers. Correspondence of Sir Edward Nicholas ..	1886	(a) Nicholas Papers, third try
nicholaspapersc01nichgoog	The Nicholas papers. Correspondence of Sir Edward Nicholas ..	1886	(a) Nicholas Papers, third try
nicholaspapersc02nichgoog	The Nicholas papers. Correspondence of Sir Edward Nicholas ..	1886	(a) Nicholas Papers, third try
bim_early-english-books-1641-1700_the-compleat-ambassador_digges-dudley-elder_1655	The compleat ambassador: ... 1655	1655	(a) Digges's Compleat Ambassador, third try
geschichtederseu00lamm	Geschichte der Seuchen, Hungers- und Kriegsnoth zur Zeit des dreissigjährigen Krieges	1890	(b) Briefe und Akten Dreissigjahrigen Krieges, third try
deutschegeschich00mentuoft	Deutsche geschichte im zeitalter der reformation, der gegenreformation und des dreissigjährigen krieges, 1493-1648; ein handbuch für studierende	1913	(b) Briefe und Akten Dreissigjahrigen Krieges, third try
briefeundactenz00altmgoog	Briefe und Acten zur Geschichte des Dreissigjährigen Krieges in den Zeiten ...	1906	(b) Briefe und Akten Dreissigjahrigen Krieges, third try
BIUSante_24437x15	Joh. Jessenius de Magna Jessen Arzt und Rektor in Wittenberg und Prag hingerichtet am 21 Juni 1621, ein Lebensbild aus der Zeit des dreissigjährigen Krieges	1926	(b) Briefe und Akten Dreissigjahrigen Krieges, third try
ab1geschichtedes03gind	Geschichte des dreissigjährigen Krieges	1869	(b) Briefe und Akten Dreissigjahrigen Krieges, third try
geschichtedesdre02gind	Geschichte des dreissigjährigen Krieges	1869	(b) Briefe und Akten Dreissigjahrigen Krieges, third try
druffel_firestorm_james_mcdonald_fight_ufo_science	Firestorm Dr. James E. McDonald's Fight For UFO Science	2003	(b) Druffel's Briefe und Akten, third try by creator
briefeundaktenz03kommgoog	Briefe und Akten zur Geschichte des sechzehnten Jahrhunderts : mit besonderer Rücksicht auf Bayerns Fürstenhaus, auf Veranlassung und mit Unterstützung Seiner Majestät des Königs von Bayern Maximilian II	1873	(b) Druffel's Briefe und Akten, third try by creator
briefeundaktenz01kommgoog	Briefe und Akten zur Geschichte des sechzehnten Jahrhunderts : mit besonderer Rücksicht auf Bayerns Fürstenhaus, auf Veranlassung und mit Unterstützung Seiner Majestät des Königs von Bayern Maximilian II	1873	(b) Druffel's Briefe und Akten, third try by creator
briefeundaktenz02kommgoog	Briefe und Akten zur Geschichte des sechzehnten Jahrhunderts : mit besonderer Rücksicht auf Bayerns Fürstenhaus, auf Veranlassung und mit Unterstützung Seiner Majestät des Königs von Bayern Maximilian II	1873	(b) Druffel's Briefe und Akten, third try by creator
bijdragenenmede18nethgoog	Bijdragen en mededelingen van het Historisch Genootschap	1877	(b) Werken van het Historisch Genootschap, third try
bijdragenenmede00nethgoog	Bijdragen en mededelingen van het Historisch Genootschap	1962	(b) Werken van het Historisch Genootschap, third try
bijdragenenmede03nethgoog	Bijdragen en mededelingen van het Historisch Genootschap	1962	(b) Werken van het Historisch Genootschap, third try
bijdragenenmede09unkngoog	Bijdragen en mededeelingen van het Historisch Genootschap (gevestigt te Utrecht)	1877	(b) Werken van het Historisch Genootschap, third try
bijdragenenmede09nethgoog	Bijdragen en mededelingen van het Historisch Genootschap	1962	(b) Werken van het Historisch Genootschap, third try
bijdragenenmede11nethgoog	Bijdragen en mededelingen van het Historisch Genootschap	1962	(b) Werken van het Historisch Genootschap, third try
bub_gb_i1rhdgfMJrYC	Cronache della città di Fermo pubblicate per la prima volta ed illustrate da Gaetano De Minicis vice presidente della R. Deputazione di Storia Patria per le Provincie della Toscana, dell'Umbria e delle Marche	1870	(b) Documenti di storia italiana, third try
bub_gb_jg3VCd2UkOgC	Cronache della città di Fermo pubblicate per la prima volta ed illustrate da Gaetano De Minicis vice presidente della R. Deputazione di Storia Patria per le Provincie della Toscana, dell'Umbria e delle Marche	1870	(b) Documenti di storia italiana, third try
linvasionalleman00esse	L'invasion allemande en Belgique; de Liège à l'Yser; avec une esquisse des négociations diplomatiques précédant le conflit	1917	(b) further Negociations diplomatiques, third try
ngociationsdipl02empigoog	Negociations diplomatiques entre la France et l'Autriche durant les trente premieres annees du XVI. siecle	1845	(b) further Negociations diplomatiques, third try
ngociationsdipl00empigoog	Negociations diplomatiques entre la France et l'Autriche durant les trente premieres annees du XVI. siecle	1845	(b) further Negociations diplomatiques, third try
